Cost,Profit,Rounds,Blocks,Transactions
45.99602107547236,-45.99602107547236,1,2,6
268.96876400828495,-268.96876400828495,2,4,14
66.28273699757261,-66.28273699757261,1,2,9
1021.2281420604246,-1021.2281420604246,3,7,22
150.31407163852933,-150.31407163852933,1,2,6
109.60968930576428,-109.60968930576428,1,9,41
1207.9083971699195,-1207.9083971699195,3,8,39
9118.86215560779,-9118.86215560779,15,56,173
494.24668271506147,128192.14749148804,1,4,30
2106.342512754823,-2106.342512754823,3,14,66
40.0307880837157,516.8004712740517,1,4,15
2922.068638535603,-2922.068638535603,13,50,808
3306.8228633662284,70984.28646611342,3,16,53
10402.075244464135,-10402.075244464135,12,89,591
213.3513646712258,9149.77161379386,1,2,10
4.667297787502896,-4.667297787502896,1,2,7
247.43257329171965,3647.6837760698704,1,13,49
10525.822439007674,-10525.822439007674,25,91,319
574.3857169503636,32416.997154150627,2,10,37
362.7270596686617,12484.588601373534,4,20,82
915.7126513207608,484.9706593067142,3,22,90
7929.239104978954,791211.8601563465,57,224,1734
795.4384992579766,-795.4384992579766,17,135,503
10741.11973117689,-10741.11973117689,66,233,2664
7260.375805125628,4349.045529042872,25,65,291
300.65427437123844,-300.65427437123844,1,2,8
51.962023359745864,-51.962023359745864,2,16,60
2068.1148976105665,-2068.1148976105665,5,18,85
97.80674317822991,-97.80674317822991,2,4,12
110.73578104253247,-110.73578104253247,1,2,6
1488.840691982639,-1488.840691982639,1,6,33
529.3859149788668,3204.791792564971,3,10,44
305.92410072155354,-305.89296029434007,1,2,8
1186.2692477409157,-1186.2692477409157,1,3,8
744.9858358106388,-744.9858358106388,1,7,32
10707.400344208105,-10707.400344208105,19,72,250
877.6493518662026,-877.6493518662026,1,15,67
3919.3279794261553,-3919.3279794261553,6,101,426
161.63669784722273,-161.63669784722273,1,10,33
2616.2229494630687,-2616.2229494630687,1,3,7
9093.602057530445,66134.07484734525,7,47,118
1452.0557287467898,-1452.0557287467898,1,23,91
1140.9261886089203,-1140.9261886089203,1,8,23
1159.9030193428434,-1159.9030193428434,2,8,31
2028.0695056875657,-2028.0695056875657,1,10,27
45.720182882957026,-45.720182882957026,1,2,8
3472.7007098012573,-3472.7007098012573,2,11,34
2754.184631941505,-2754.184631941505,2,9,30
84.10651083832435,-84.10651083832435,1,2,7
253.36710858870376,-253.36710858870376,5,10,28
