Bot Hash,Campaigns,Rounds,Transactions,Attackers,Suppressed Contracts,Profit,Bot Cluster ID,First Block
0x67a6C6F0e5ee3E68484B57A3678D5531606721d2,2,2,158,20,1,-2329.7050806129923,3,7788021
0x78c7206A93E1d917F83DF1612Ec4F8d363201E60,1,1,33,12,1,-1488.840691982639,2,6193636
0x32dCfE4655f329aF2008F5c45A87599Ae15Bc588,1,17,503,20,1,-795.4384992579766,3,7421126
0xcB4446a431e0b28e85d5DbB2FF1B90EB222CbB16,1,3,44,18,1,3204.791792564971,3,7674373
0xe3b9c23f6FA9D1DFCDc35a79A48a45d23EB241e0,1,1,7,7,1,-4.667297787502896,3,7168047
0xD6e8a9a1873fa97a75e0b8bc954aa5C698820273,3,3,46,6,1,127585.60025682246,2,6232122
0x3204FB05884Ef40a05ef5F383e63d8a085FcA43C,1,13,808,41,1,-2922.068638535603,5,6497572
0x705203fc06027379681AEf47c08fe679bc4A58e1,2,123,4398,41,1,780470.7404251696,5,6385588
0xC5344922a29401E4091e94bE38C9C5c7696f60C0,1,2,60,20,1,-51.962023359745864,3,7184012
0x9ed48223277803D2f9645cf20368456E55d41547,1,1,33,16,1,-161.63669784722273,3,7727636
0x487579BDcB8eC5416B06ceE02Ec21ee7e8c5Efdb,1,3,66,6,1,-2106.342512754823,2,6236467
0x4f427bc21334102943C082Ace86b5F3974AB76F8,1,15,173,9,1,-9118.86215560779,4,6160372
0xfFe11FE25bc6D8C86d2d5fb94C3B663EbA2510ab,2,3,18,6,1,-208.54252422076237,2,6206332
0xAF1FcA749A6625801BB28C93Eee763eC346a4Eae,1,3,22,4,1,-1021.2281420604246,4,6154761
0xeC53dDC548AD54E53156a6Ca3105209F57f3C667,1,12,591,12,1,-10402.075244464135,2,6194152
0xb2A7402Ef4CE20482654B468A8e447df29623770,1,1,6,6,1,-150.31407163852933,2,6207760
0x539943A3E41BFe7BdA9871EC65E54b5a70258634,1,1,41,18,1,-109.60968930576428,3,7456678
0x4dcde98c630141f337706ffe0c5Dc3dE873a00c9,1,2,14,7,1,-268.96876400828495,2,6208495
0x5B23eF58CDb9031B09B6367C7509c3CAd315c8B1,1,3,39,19,1,-1207.9083971699195,3,6373391
0x184602ab29aD4618B2668f748f7F359fa31e2ea6,1,4,82,19,1,12484.588601373534,3,6678018
0xf9109191e455981dEEf5bAC0618Dcb0Aa86FAE7D,2,20,282,12,2,-11452.386180018744,4,6280253
0xA86958dbD35Ea4D1b55bbD3788B7Aa20D3780AB1,1,6,426,20,1,-3919.3279794261553,3,8258924
0x18e1B664C6a2E88b93C1b71F61Cbf76a726B7801,1,25,319,17,1,-10525.822439007674,4,6172917
0xD83CF6613FF1404c21bC636FB1A3F754ccDf9717,1,1,49,18,1,3647.6837760698704,3,7640248
0xB829dDaD6b9990F7A2Efbd70Ac436fe0E68B0D78,1,1,9,8,1,-66.28273699757261,3,6575120
0xd037763925C23f5Ba592A8b2F4910D051a57A9e3,11,24,321,15,3,51392.604792449194,4,6198235
0xdcC655B2665A675B90ED2527354C18596276B0de,4,9,190,20,1,113036.02589336461,3,6501340
0x7b6a4ffa1A5514e247a5983384818E6E1db8e72E,1,1,6,6,1,-45.99602107547236,1,6659996
0x150D2464e0D46D1644C715E7B71Aa989De147b2a,1,1,15,13,1,516.8004712740517,3,6897508
0x5d3F186Bf6839cAC0a67a71695860E65AF644985,2,30,376,7,1,2280.9306314323053,2,6208953
